,timestamp,c,h,l,o
1,2010-07-18T00:00:00Z,,,,
2,2010-07-18T01:00:00Z,,,,
3,2010-07-18T02:00:00Z,,,,
24,2010-07-18T23:00:00Z,,,,
25,2010-07-19T00:00:00Z,,,,
26,2010-07-19T01:00:00Z,,,,
27,2010-07-19T02:00:00Z,,,,
47,2010-07-19T22:00:00Z,,,,
48,2010-07-19T23:00:00Z,,,,
49,2010-07-20T00:00:00Z,,,,
50,2010-07-20T01:00:00Z,,,,
71,2010-07-20T22:00:00Z,,,,
72,2010-07-20T23:00:00Z,,,,
73,2010-07-21T00:00:00Z,,,,
74,2010-07-21T01:00:00Z,,,,
144,2010-07-23T23:00:00Z,,,,
161,2010-07-24T16:00:00Z,,,,
162,2010-07-24T17:00:00Z,,,,
163,2010-07-24T18:00:00Z,,,,
164,2010-07-24T19:00:00Z,,,,
165,2010-07-24T20:00:00Z,,,,
166,2010-07-24T21:00:00Z,,,,
167,2010-07-24T22:00:00Z,,,,
168,2010-07-24T23:00:00Z,,,,
189,2010-07-25T20:00:00Z,,,,
190,2010-07-25T21:00:00Z,,,,
191,2010-07-25T22:00:00Z,,,,
192,2010-07-25T23:00:00Z,,,,
193,2010-07-26T00:00:00Z,,,,
194,2010-07-26T01:00:00Z,,,,
195,2010-07-26T02:00:00Z,,,,
196,2010-07-26T03:00:00Z,,,,
197,2010-07-26T04:00:00Z,,,,
198,2010-07-26T05:00:00Z,,,,
199,2010-07-26T06:00:00Z,,,,
200,2010-07-26T07:00:00Z,,,,
201,2010-07-26T08:00:00Z,,,,
202,2010-07-26T09:00:00Z,,,,
214,2010-07-26T21:00:00Z,,,,
215,2010-07-26T22:00:00Z,,,,
216,2010-07-26T23:00:00Z,,,,
217,2010-07-27T00:00:00Z,,,,
218,2010-07-27T01:00:00Z,,,,
219,2010-07-27T02:00:00Z,,,,
220,2010-07-27T03:00:00Z,,,,
233,2010-07-27T16:00:00Z,,,,
234,2010-07-27T17:00:00Z,,,,
235,2010-07-27T18:00:00Z,,,,
236,2010-07-27T19:00:00Z,,,,
237,2010-07-27T20:00:00Z,,,,
238,2010-07-27T21:00:00Z,,,,
239,2010-07-27T22:00:00Z,,,,
240,2010-07-27T23:00:00Z,,,,
241,2010-07-28T00:00:00Z,,,,
242,2010-07-28T01:00:00Z,,,,
243,2010-07-28T02:00:00Z,,,,
244,2010-07-28T03:00:00Z,,,,
264,2010-07-28T23:00:00Z,,,,
265,2010-07-29T00:00:00Z,,,,
266,2010-07-29T01:00:00Z,,,,
267,2010-07-29T02:00:00Z,,,,
268,2010-07-29T03:00:00Z,,,,
289,2010-07-30T00:00:00Z,,,,
313,2010-07-31T00:00:00Z,,,,
314,2010-07-31T01:00:00Z,,,,
315,2010-07-31T02:00:00Z,,,,
337,2010-08-01T00:00:00Z,,,,
338,2010-08-01T01:00:00Z,,,,
